id;author;aff_id
7213804;Wenqian Cheng;24
7213805;David G. Reed;184
7213806;Graham R. Markall;136
7213807;K. Y. How;98
7213808;Zixiang Ma;24
7213809;Lucas Dixon;167
7213810;Calum A. M. Grant;61
7213811;Chao-Yang Yang;30
7213812;Simon Pears;88
7213813;Jorge Farres-Casals;38
7213814;Jonathan James Trevor;170
7213815;Omer Farooq Rana;22
7213816;Fadi Louis Nammour;41
7213817;Amir Aryanpour;112
7213818;Abdullah Fayez H. Algarni;123
7213819;Yuming Shen;53
7213820;D. L. Clutterbuck;87
7213821;Martin David Cripps;160
7213822;Andrew Camilleri;13
7213823;Johanna Geiß;56
7213824;Joseph Maguire;60
7213825;Edoardo Pignotti;124
7213826;Tomas Pfister;143
7213827;Botond Istvan Virginas;157
7213828;Miguel Leitão Bignolas Mira da Silva;117
7213829;Aliyu Ahamd Usman;153
7213830;Kacper P. Chwialkowski;102
7213831;Daryl Weir;49
7213832;Ratvinder Singh Grewal;130
7213833;Michael W. Spratling;113
7213834;Pan Su;105
7213835;David Cutting;152
7213836;Stuart Goose;192
7213837;Carlo Harvey;93
7213838;Robin Henry Message;152
7213839;Stephen J. H. Workman;79
7213840;Timothy Daniel Moreton;164
7213841;Petar Goulev;112
7213842;Roderick Kay;27
7213843;Peter A. Jarvis;48
7213844;Marwan Mohammed Mahmoud Radwan;23
7213845;Marcin Wójcik;109
7213846;Fiona M. Rivera;8
7213847;Michel Ludwig;154
7213848;Juan L. Reutter;17
7213849;Yousef H. Daabaj;190
7213850;Peter Coetzee;49
7213851;Henry D. Knowles;26
7213852;Kenneth George Pierce;20
7213853;Hyosun Kwon;134
7213854;Afam Nnanna Ituma;4
7213855;Hee Young Lee;103
7213856;Ying Zou 0003;126
7213857;Miren Begoña Albizuri-Romero;99
7213858;Nadia Fathe Hmad;194
7213859;Andrew John Charles Blyth;155
7213860;David Andre De Waal;89
7213861;Jingjing Deng;115
7213862;Lee John Finniear;92
7213863;Long Tran-Thanh;40
7213864;Stephan Herhut;45
7213865;Saturnino Luz;149
7213866;R. J. Baker;7
7213867;Daniel Gábana Arellano;19
7213868;Waqar Asif;128
7213869;Dominic Buchstaller;169
7213870;H. K. F. Yeung;47
7213871;M. S. Thar;117
7213872;J. D. M. McKeever;190
7213873;Su Yang;192
7213874;R. A. Proctor;4
7213875;Rehman Mohamed;1
7213876;Philip T. Elliott;180
7213877;Eric Kord Henderson;62
7213878;Alex Frazer;159
7213879;Nicole van Deursen Hazelhoff Roelfze;74
7213880;Nadish de Silva;123
7213881;Augoustinos Tsiros;48
7213882;Ralf Dieter Reutemann;107
7213883;Rafee Ebrahim;147
7213884;Patrick Brady;75
7213885;Sethuraman Muthuraman;106
7213886;Goran Abdulrahman Mohammed;114
7213887;Thomas Gorry;32
7213888;Chunlin Song;56
7213889;Kristopher West;3
7213890;Boladale M. Isawhe;45
7213891;Mehdi Goli;110
7213892;Louis Anegekuh;77
7213893;Richard David Jacques;127
7213894;A. R. Farmer;22
7213895;Peter Clark;68
7213896;J. A. Kyffin;133
7213897;Roopa Rangaswami;159
7213898;R. W. Thearle;108
7213899;Walid J. Arif;116
7213900;Richard John Haynes;190
7213901;Fernando Rivera-Illingworth;110
7213902;Wadhah Amer Hatem;190
7213903;Nicolas Manfred Otto Heess;152
7213904;Shakil Ahmed;173
7213905;Nur Haryani Zakaria;38
7213906;Neil Loughran;136
7213907;Alex L. Wood;9
7213908;Abdulmajeed Alsufyani;19
7213909;David Croft 0002;61
7213910;Athanasios Papaioannou;115
7213911;Anja Schanzenberger;89
7213912;Duangtida Athakravi;180
7213913;Cheng Feng 0004;65
7213914;Maryam Hajiesmaeili;193
7213915;Massimo Felici;59
7213916;Lisa Kirke;34
7213917;Michael Gellman;161
7213918;Hafiz Mahfooz Ul Haque;155
7213919;Baoyu Wang;68
7213920;Alan Burton;13
7213921;L. R. Talamas;185
7213922;David Maley;48
7213923;Claire Hardaker;101
7213924;Charalambos Tsatsaris;186
7213925;Yong-Fei Han;51
7213926;Johan Kildal;66
7213927;Tanya Lambert;115
7213928;Henning Grashoff;85
7213929;Adam Nellis;46
7213930;Otlhapile Dinakenyane;53
7213931;Jianjia Wang;192
7213932;Liam McNamara;184
7213933;Giles Mayley;188
7213934;Christopher Bailey 0001;43
7213935;Goodhead Tomvie Abraham;112
7213936;Andrew Justin Morris;8
7213937;S. Stevens;114
7213938;Jayachandra Chilukamari;175
7213939;Nigel Corbin;89
7213940;Michael Luke Tunmer;91
7213941;Daniel Reid;198
7213942;Stephen Peter Allen;57
7213943;David Wakeling;30
7213944;Healfdene Goguen;13
7213945;Adnan Mujahid Khan;113
7213946;Steven J. T. Marsh;197
7213947;Jacques Chueke;123
7213948;Jung-Hua Liu;47
7213949;Vladan Rankov;18
7213950;Xuan Huang 0003;75
7213951;Yongxing Wang;9
7213952;I. M. Breffit;170
7213953;Christopher Duncan Green;128
7213954;Son Tran;166
7213955;Thalaya Alfawzan;97
7213956;Fábio Ferrentini Sampaio;131
7213957;Jie Xiong 0001;97
7213958;Saad Aldosary;121
7213959;Mark Debbage;35
7213960;Turki Mohammed K. Alghamdi;110
7213961;Lin Li 0026;197
7213962;Hatm Alkadeki;59
7213963;Yahan Hua;12
7213964;Daphne Economou;140
7213965;Eyal Haik;189
7213966;Tereska Karran;116
7213967;Claire May White;162
7213968;Elizabeth L. Burd;16
7213969;Hany A. Abdelghaffar Ismail;71
7213970;Liam S. Docherty;16
7213971;A. A. Salih 0001;158
7213972;M. M. Chaudhery;25
7213973;Andrew Charles Coombes;176
7213974;Kamran Taj Pathan;76
7213975;Michael Stuart Alexander Robb;175
7213976;Heather Jane Turpin;136
7213977;Paula Cristina Martins da Silva Rocha;173
7213978;Su-Shin Ang;144
7213979;Paul Wonnacott;6
7213980;Abdulrahman Almuhareb;129
7213981;Robert G. Maunder;57
7213982;Peter Phillips;91
7213983;Xinli Du;118
7213984;Jiang Lu;166
7213985;Aparajithan Sivanathan;65
7213986;Susan Craw;111
7213987;Glenn D. Carver;71
7213988;Andrew D. Steele;54
7213989;Beibei Zhan;81
7213990;Jiangning Gao;181
7213991;Qiang Liu 0011;68
7213992;David Robert Moore;88
7213993;Andreas Theissler;64
7213994;Wafa El-Tarhouni;49
7213995;Jon-Paul Griffiths;5
7213996;Anthony Keenan;97
7213997;E. L. Moore;90
7213998;Daniele Filaretti;199
7213999;Florian Rathgeber;21
7214000;Mathias Fritzsche;82
7214001;Fuad M. Alkoot;170
7214002;Mark Jonathan Roberts;142
7214003;Mandeep Singh Gill;125
7214004;Chris Durbin 0001;25
7214005;Shane Mansfield;16
7214006;David R. Evans 0001;88
7214007;Patrick Valente;38
7214008;Ekhorutomwen Asemota;145
7214009;Ian Martin Kennedy;113
7214010;Kevin I. Smith;31
7214011;Junyi Qui;72
7214012;Mmaki Jantjies;15
7214013;P. L. Kilpatrick;74
7214014;J. M. Wilson;39
7214015;Abdunnaser Mrabet;38
7214016;Matias Garcia-Constantino;180
7214017;Paul Michael Dunphy;170
7214018;Georgios Vasilios Magklaras;199
7214019;Abdullah Alsaeedi;72
7214020;J. C. Tomlinson;27
7214021;Michael O. Shneier;82
7214022;Harjit Singh;6
7214023;Xuan Peng;31
7214024;Craig McPheeters;152
7214025;Brian Canavan;46
7214026;Hemanth Khambhammettu;58
7214027;Meng Zhu;158
7214028;Konstantina Mitropoulou;84
7214029;Graeme W. Blackwood;127
7214030;Ziyun Cai;19
7214031;Mathias Neumüller;62
7214032;Zhiyuan Shi 0001;62
7214033;René MacKinney-Romero;57
7214034;Mark S. Withall;198
7214035;E. Falconer;118
7214036;Joseph Alan Hartley;111
7214037;Shijing Guo;173
7214038;G. T. Rooney;135
7214039;Richard Butterworth;99
7214040;Jason R. C. Nurse;135
7214041;Vassilios Kopanas;148
7214042;Seyed Ali Hosseini;151
7214043;Konstantinos Bozas;119
7214044;Junyi Jiang;97
7214045;Sophiana Chua Abdullah;36
7214046;Paul W. Rendell;7
7214047;Vikas Deora;33
7214048;Paulo Sergio Martins Pedro;37
7214049;Gurleen Kaur Arora;143
7214050;Jing Dong 0001;148
7214051;Hua Cheng 0001;197
7214052;Xin Chen 0015;177
7214053;Orestis Tsinalis;128
7214054;Wasan Mehdi;11
7214055;Adam Baumberg;51
7214056;Jenna Marie Reps;32
7214057;Rodrigo Lankaites Pinheiro;163
7214058;Jianjun Pu;179
7214059;Tao Xue;43
7214060;Stephen G. Matthews 0002;90
7214061;Erik Reinhard;98
7214062;Abdullahi Arabo;152
7214063;Athanasios Konstantinidis;83
7214064;Stig Nygaard Quist;16
7214065;Peter John Whysall;56
7214066;Bryan James Prosser;77
7214067;Mahmud Ahmed;187
7214068;Vincent E. Devin;128
7214069;K. Foster;52
7214070;John Colley;id
7214071;Mona Ali;15
7214072;Daniele Malleo;165
7214073;Jingtao Yang;145
7214074;Dimitrios Kourtesis;41
7214075;Martinus Cornelis Schut;130
7214076;O. Esoul;13
7214077;Xuan Huang 0002;197
7214078;Sheeva Afshan;19
7214079;Mina I. S. Ibrahim;191
7214080;Aaron Mark Parker;130
7214081;Long Zhang 0006;141
7214082;Saddam Bekhet;50
7214083;Renan Krishna;47
7214084;Alexander Voss;115
7214085;Martins E. Irhebhude;34
7214086;Ralph Barthel;12
7214087;Abu Turab Alam;98
7214088;Thomas C. Walters;178
7214089;Janos Sziveri;198
7214090;Abdul Samad Shibghatullah;9
7214091;ShengLi Shi;73
7214092;Dana Mohammed Al-Malki;65
7214093;G. M. Evans;178
7214094;James Skene;42
7214095;Maya Wardeh;14
7214096;Quentin Reul;102
7214097;Teodor Ghetiu;122
7214098;Michal Lukasik;160
7214099;Edward Jaser;195
7214100;Nicholas Wolverson;31
7214101;Pouria Sadeghi-Tehran;180
7214102;George H. Pollard;171
7214103;Qi Wu 0001;169
7214104;Wei Huang 0019;67
7214105;Mayur Sarangdhar;88
7214106;Khari A. Armih;29
7214107;Mercedes Beatriz Ontiveros;185
7214108;Tyler Moore;148
7214109;Vincenzo Trignano;151
7214110;Steven Robert Andrew Jones;164
7214111;Xim Meng;8
7214112;Peter Connard;120
7214113;Ross J. Kang;id
7214114;Waleed Alsanie;112
7214115;Nimal Ananda Jayaratne;84
7214116;Christopher Gwilliams;12
7214117;Duncan Russell Campbell;88
7214118;William Ian Cameron Mitchell;42
7214119;Javier G. Marín-Blázquez;37
7214120;Simon P. Hammond;96
7214121;Patrick J. Connally;173
7214122;Mohammad Hashem Ryalat;76
7214123;Michal Morciniec;29
7214124;Kuo-Jung Tseng;69
7214125;John R. Longley;107
7214126;Mascarus Joaquin Acevedo;82
7214127;Min Jiang 0001;9
7214128;Frédéric Ranno;143
7214129;Fabio Paternò;169
7214130;G. Williams;26
7214131;Walid Adly Atteya Abdo;128
7214132;Steven Neely;18
7214133;Lone Leth;193
7214134;Grégoire Burel;116
7214135;Wafaa Rezk Shabana;7
7214136;Safoora Shakil Khan;5
7214137;Philip Iosifidis;44
7214138;Maciej Kurek;189
7214139;Ming Jiang 0007;171
7214140;Francis Guerin;97
7214141;David Anthony Parker;18
7214142;María del Pilar Angeles;55
7214143;Rishad Ahmed Shafik;128
7214144;Amaria Zidouk;198
7214145;Jonathan David Hook;151
7214146;Colin James Burgess;79
7214147;Hashim El Amin Mustafa;167
7214148;Matthew Bennett;129
7214149;Issam Souilah;104
7214150;Jason P. Garforth;199
7214151;Mario Wolczko;47
7214152;Maira Tariq;119
7214153;Paul J. Roberts;108
7214154;Thomas Schiepp;33
7214155;Marwan Ahmad Talal Al-Tawil;87
7214156;Jey E. E. Ngole;199
7214157;Andy Herdman;167
7214158;Ian Charles Herbert Thomas;187
7214159;Jó Ueyama;75
7214160;Sean F. Heaney;146
7214161;Mohammad Samir Khan;88
7214162;Valentine Nwakacha;132
7214163;D. P. Simpson;128
7214164;Kamel Abdelsalam Mahmoud El-Hadad;160
7214165;Fangde Liu;70
7214166;Muayed S. Al-Huseiny;111
7214167;Stephan Wolfer;2
7214168;A. R. Grayer;7
7214169;Vasileios Vitsas;86
7214170;H. B. Kendler;26
7214171;Jane M. Fritz;12
7214172;Daryoosh Karami;59
7214173;Dean Ashley Williams;18
7214174;Shahid Abbas Haider;101
7214175;David R. Brownbridge;198
7214176;Asmaa Al-Naqi;158
7214177;Shadi Aljawarneh;11
7214178;Mark Bingham;43
7214179;Jeffrey John Joyce;181
7214180;Asif Khan 0003;28
7214181;Samantha Type;10
7214182;Marcos R. S. Borges;21
7214183;John Christopher Murray;81
7214184;Luis Filipe Ribeiro Pinto;146
7214185;Richard Lowe;153
7214186;D. M. Ashenden;52
7214187;Lewis Gill;7
7214188;Michel François Valstar;70
7214189;D. Sapounas;190
7214190;Ioannis Havoutis;123
7214191;Pouwan Lei;98
7214192;Christopher Daniel Emmons;98
7214193;Guy Lever;98
7214194;Kanagaratnam Ronald Sujithan;124
7214195;Colin Fyfe;176
7214196;Tiejun Ma;63
7214197;David Warnock;192
7214198;Paul A. Crook;31
7214199;Michael Alan Dewar;66
7214200;Yok Hoe Yap;54
7214201;Nikolaos Papanikolaou 0001;19
7214202;Aung Htike Phyo;196
7214203;Thomas Edward Reid McCallum;128
7214204;Nurlida Basir;59
7214205;Michael James Heron;95
7214206;Kwok Tat Peter Au;78
7214207;Avon P. Huxor;31
7214208;Hemal Kothari;43
7214209;Callum George Littlejohns;17
7214210;Paul Expert;81
7214211;David J. J. Toal;126
7214212;Mohammed Al-Shammaa;160
7214213;Tim Anderson;185
7214214;Kum Wah Choy;145
7214215;Álvaro F. Moreira;45
7214216;Y. A. Nusseir;155
7214217;Clive Richard Higgs;83
7214218;Katrin Jonas;121
7214219;Yuan Jenq Lui;2
7214220;Mirjam Palosaari Eladhari;187
7214221;John William Lumley;91
7214222;Klaus Stefan Schlobach;66
7214223;J. G. Pearce;88
7214224;Sharon Flynn;139
7214225;Daniel Grigat;103
7214226;Elio Quinton;186
7214227;Mohammad Khodadadi;13
7214228;Norbert Matthias Linke;78
7214229;Roland Auckenthaler;45
7214230;Joscha-David Fossel;94
7214231;M. Floyd;93
7214232;James Alexander Naish;94
7214233;Dialechti Christina Emmanouil;24
7214234;Sokratis Chatzis;175
7214235;Shi Zhou;184
7214236;Simon John Shurville;81
7214237;Rawin Vongurai;172
7214238;François Siewe;195
7214239;Sebastien Nicolas Marion;22
7214240;Ayad Ali Keshlaf;80
7214241;Karim Mohsen Mahmoud El Batran;136
7214242;Wentong Cai;67
7214243;Christopher T. Asque;68
7214244;John Robert Derek Hughes;163
7214245;Maysoon F. Abulkhair;111
7214246;John Brier;149
7214247;Oluwakemi Adewunmi Ademoye;23
7214248;Wondimagegn Yalew Mallede;156
7214249;Tom Lovett;107
7214250;Franz A. de Leon;19
7214251;Philip Bolt;165
7214252;Abdelsalam M. Maatuk;91
7214253;Divakar Yadav;187
7214254;Gordon M. Robinson;10
7214255;Ana H. O. R. Castillo;196
7214256;Mohamed Abdlhamed;18
7214257;Ioannis Zeimpekis;9
7214258;Mustafa Bani Khalaf;66
7214259;Gunawan Ariyanto;163
7214260;Timothy Revell;51
7214261;Fan Zhang 0025;141
7214262;Barry Ip;26
7214263;John Oliver Bailey;34
7214264;Richard G. Carter;1
7214265;Mark Longley;23
7214266;Stewart Massie;114
7214267;Alexander Merry;104
7214268;Ognjen Rudovic;36
7214269;Paul Johnston Wilkinson;122
7214270;Nigel John Jewell;151
7214271;Alison Baker;1
7214272;J. E. Ellis;157
7214273;Fatima Alkandari;69
7214274;Keith Halewood;80
7214275;David Edward Ashdown Robinson;84
7214276;Neil Tisdale;184
7214277;Leandro Soriano Marcolino;161
7214278;Dawn Helaine Wood;82
7214279;Jing-Ping Fan;46
7214280;Dimitrios S. Kolovos;54
7214281;Erika Darics;id
7214282;Robert Andrew Davis;179
7214283;Samuel Staton;189
7214284;Tim Lessner;67
7214285;Sadek Hamani;69
7214286;Daniela Wieser;69
7214287;Jing Tian 0001;91
7214288;Maria Stergiou;161
7214289;Zhan Qiu;172
7214290;Saad M. A. Hafidh;75
7214291;Sam D. Allen;id
7214292;Emre Savas;43
7214293;W. L. Poon;1
7214294;Kenneth J. Turner;188
7214295;Nada Y. Philip;183
7214296;Emmanuel Hooper;87
7214297;Roland Carl Backhouse;162
7214298;Sergio Alvarez Teleña;177
7214299;Xiaolei Shang;117
7214300;Moniphia Orlease Hewling;176
7214301;Carl Samuel Barton;126
7214302;Novia Admodisastro;146
7214303;Ian C. Brown;123
7214304;Malik Almaliki;113
7214305;Roberto Montagna;78
7214306;C. A. Briceno;49
7214307;Mazlina Abdul Majid;id
7214308;Anastassia Angelopoulou;30
7214309;Richard Anthony Evans;2
7214310;Ataollah Ramezan Shirazi;90
7214311;Steve Bennett;29
7214312;Martina Angela Sasse;155
7214313;Dalan Wang;172
7214314;Brent D. Mittelstadt 0002;156
7214315;J. F. Lubran;196
7214316;Rui Huang 0005;173
7214317;Nadeem Qazi;146
7214318;Anastasia Lykou;44
7214319;Funminiyi Olajide;58
7214320;John N. D. Fisher;10
7214321;Manal N. K. Al-Rawahi;100
7214322;Colin J. Layfield;28
7214323;Rebecca Naylor;180
7214324;Ning Jia 0001;136
7214325;Michael Sean Grant;140
7214326;Tareq Binjammaz;50
7214327;Alan Messer;77
7214328;Tarek Y. Khedr;84
7214329;Anzhela Shestakova;113
7214330;Michael P. Evans;131
7214331;Meghana R. Ransing;110
7214332;Michael Georgiades;182
7214333;Jafreezal Jaafar;40
7214334;Shahin Nabavian;34
7214335;Xu Zhang 0013;12
7214336;Laura Lafave;27
7214337;Sibusisiwe Chiyangwa;139
7214338;David R. Newman;116
7214339;Claire Dormann;10
7214340;Lesley Margaret Pickard;71
7214341;Jonathan Paul Sharp;21
7214342;Robert J. Stewart;112
7214343;Fabio Fabris;20
7214344;Keith Phalp;77
7214345;Leena N. Patel;34
7214346;Otman Abubaker El-Ghajiji;161
7214347;Oliver Hamilton;4
7214348;George Trigeorgis;1
7214349;Mandana Ebadian Dehkordi;126
7214350;R. T. Dunn;161
7214351;Birinder Singh Sandhawalia;193
7214352;Aimen Abdul Karim Mouharam;118
7214353;Carlos Nascimento Silla Jr.;13
7214354;Adam Rae;14
7214355;Harin Sellahewa;177
7214356;William Bradley Glisson;91
7214357;Khaled M. Alhawiti;74
7214358;Jeong-Ho Lee;119
7214359;Yansong Liang;42
7214360;Ehud Schlessinger;165
7214361;Michaela Puck Rombach;113
7214362;Kitty Meeks;70
7214363;Kriangsak Damchoom;163
7214364;Andrew T. Campbell;78
7214365;Graham Alasdair Wilson;103
7214366;Denis Kravtsov;151
7214367;W. D. T. Davies;48
7214368;Hongji Yang;66
7214369;Nasser Al-Ismaily;45
7214370;Andrew V. Jones;128
7214371;John Hargreaves;195
7214372;Amnart Pohthong;35
7214373;Tom Lodge;151
7214374;Xianhong Xu;167
7214375;Silviu Paun;164
7214376;Kumkum Prasad;156
7214377;Mounia Lalmas;133
7214378;Graham Robert Buckberry;132
7214379;Andy Maule;27
7214380;Bruce J. McAdam;186
7214381;Leif Albin Johansson;127
7214382;Jeong-Ju Yoo;132
7214383;Yuhanis Yusof;172
7214384;Georgios Papamarkos;50
7214385;Shaleph O'Neill;199
7214386;Mohammad M. Hamdan;7
7214387;Jurgen Bogdahn;116
7214388;Sarogini Grace Pease;40
7214389;Xiaoyu Xiong;156
7214390;Susanne Greenwood;151
7214391;Douglas J. Gurr;190
7214392;Mark Hugh Stansfield;147
7214393;Paul Devadoss Ezhilchelvan;177
7214394;Andrew James Smith;185
7214395;Zakira Hussain;32
7214396;Davide Roverso;128
7214397;David James Pearce;168
7214398;Mark Judge;88
7214399;E. Agustin-Molina;195
7214400;Pisit Praiwattana;95
7214401;Chen Change Loy;17
7214402;Giuseppe Passino;101
7214403;Jonathon S. Hare;16
7214404;Joshua McNamee;58
7214405;Asmiza Abdul Sani;24
7214406;Zarina Shukur;198
7214407;Elias Gyftodimos;17
7214408;Efstathios Panayi;134
7214409;Harf Zatschler;180
7214410;Fawad Qayum;44
7214411;Philip David Strother;111
7214412;Andrea Mambrini;28
7214413;Laiq Khan;184
7214414;Mike J. W. Riley;153
7214415;Thomas Chun-Pong Chau;197
7214416;Nikolaos Giannadakis;120
7214417;Eman M. G. Younis;112
7214418;Justus Obwoge;99
7214419;Howard Bowman;64
7214420;Christopher Patrick Ward;107
7214421;Mary-Jane Sule;171
7214422;Yong-Woo Lee;21
7214423;Rui Zhang 0036;70
7214424;Mohammed Alzahrani;97
7214425;Opeyemi Dele-Ajayi;95
7214426;David N. Turner;127
7214427;Zhiyuan Luo;37
7214428;Osama Altalabani;139
7214429;Luke Dominic Mark Urquhart;174
7214430;Irene S. Y. Kwan Lau;114
7214431;Samuel Hagglund;147
7214432;Melanie P. Ware;149
7214433;Zied Hosni;72
7214434;A. Chikouche;138
7214435;Christopher P. Fawcett;17
7214436;Zhidong Xiao;81
7214437;Alexei E. Zverovitch;135
7214438;Azrul Amri bin Jamal;83
7214439;William Mark Grant Dawson;52
7214440;Matthew Hague;71
7214441;Tahani Alsubait;186
7214442;Fernando Molina;152
7214443;Tommy Thompson;29
7214444;Qiang Guo 0001;43
7214445;Mohammad Munshi Shahin Shah;48
7214446;Yuan Chi;134
7214447;Kevin Carroll;60
7214448;Simon Fowler;55
7214449;Tristam Fenton-May;10
7214450;J. C. Peers;13
7214451;Xian Zhang;139
7214452;Aaron K. Martin;184
7214453;John Lancaster;132
7214454;Christian Peter Kreibich;91
7214455;Meshrif Alruily;108
7214456;Ronald Lyndon While;194
7214457;Karen Simonyan;192
7214458;George Dimitri Christelis;63
7214459;Tom Khabaza;123
7214460;Sam Holland;1
7214461;Eugene Yougarajah Andrew Charles;84
7214462;Stefan Kimak;44
7214463;S. P. Guest;51
7214464;Dida Midekso;90
7214465;R. E. Blake;21
7214466;Steven John Berryman;92
7214467;Randa Herzallah;132
7214468;Richard Chin Hung Cheung;196
7214469;Konstantin Vikhorev;74
7214470;Ferdi Sarac;176
7214471;Douglas Siviter;124
7214472;Vahan Hovhannisyan;157
7214473;Hao Liu 0020;135
7214474;Shereen Khoja;188
7214475;Jeanne Audrey Mayes;161
7214476;Kate Reed;130
7214477;Henry Lee Forsyth;176
7214478;Paul Mather;1
7214479;Guangxing Li;18
7214480;Pedro Fonseca Rodrigues;172
7214481;Judith Mary Mullins;28
7214482;Thomas James Osgood;58
7214483;Matthias Olzmann;85
7214484;Jennifer D. Simonotto;124
7214485;Horia V. Corcalciuc;129
7214486;Allan M. Bruce;30
7214487;Evangelos F. Stefatos;46
7214488;Beatriz de la Iglesia;55
7214489;David A. Wolfram;40
7214490;Jarrod Knibbe;117
7214491;Kier Storey;195
7214492;Julian P. Murphy;100
7214493;T. A. Xia;145
7214494;Theophilos Skevofilax;150
7214495;Noppadol Chumchob;82
7214496;Mary Elizabeth Cryan;74
7214497;Luis Alexis Velásquez;63
7214498;P. Y. Chan 0002;135
7214499;Peter Robert Symons;43
7214500;Ben Tagger;172
7214501;Ashton Wilson;182
7214502;Mark Charles Spittle;160
7214503;Euan W. Dempster;50
7214504;Danny Pearce;173
7214505;Craig Nicol;53
7214506;Luke Thomas Chatburn;157
7214507;Effirul I. Ramlan;186
7214508;Ian Batten;106
7214509;R. Philips;129
7214510;D. J. Rees;157
7214511;Yunwen Yang;49
7214512;Jan Tobias Mühlberg;44
7214513;Andrew Thomas Plant;115
7214514;Noraddin Nakhaee;101
7214515;Areej S. Alfraih;117
7214516;Botan M. Ahmad Al-Hadad;94
7214517;S. R. A. Brown;138
7214518;Arjurna Sathiasseelan;152
7214519;Andrew J. Logsdail;114
7214520;I. G. Mitchell;196
7214521;Martin J. Hicks;139
7214522;Ana Armas Romero;47
7214523;Chris M. N. Tofts;137
7214524;Sulaiman Alateyah;67
7214525;Ahmed Khelfa Obeid Al-Ajeli;112
7214526;Sameera A'amer Abdul-Kader;130
7214527;Benjamin Thomas Ken Hopson;132
7214528;I. D. Wilson;59
7214529;Eric W. Tatham;153
7214530;Yi Zhou 0007;76
7214531;Husna Osman;id
7214532;Kiera Murphy;83
7214533;Visit Hirankitti;142
7214534;J. A. Gunawardena;79
7214535;Inman Harvey;9
7214536;Darrel Trevor Desmond Manuel;189
7214537;Pawan Goyal;85
7214538;Malik Shahzad Kaleem Awan;13
7214539;Simeon Xenitellis;161
7214540;Mykola Galushka;7
